,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,O_long,O_lat,D_long,D_lat
1567,Urola Kosta       ,Donostialdea,Zarautz,Andoain,Coche conductor,14:00,22,Andoain,1,2,1,Hogar de una persona,1,5,1,1,2021,24629.120000000003,-2.1601032048458797,43.28325060596092,-2.033693,43.256347
1568,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Autobús interurbano,07:50,23,Errenteria,1,1,1,Hogar de una persona,1,5,1,2,2021,26057.11,-1.9145203150608503,43.31094494589358,-2.033693,43.256347
1569,Donostialdea,Donostialdea,Hernani,Donostia/San Sebastian,Coche conductor,15:00,22,Donostia/San Sebastian,2,3,1,Otros hogares con niños,2,4,1,1,2021,25804.66,-1.9609141059805486,43.26862225877537,-2.033693,43.256347
1570,Tolosaldea,Donostialdea,Villabona,Errenteria,Coche conductor,05:15,22,Villabona,2,3,2,Otros hogares sin niños,2,3,1,1,2021,24143.435,-2.0519181239188073,43.1889307049025,-2.033693,43.256347
1571,Donostialdea,Donostialdea,Hernani,Andoain,Coche conductor,13:00,99,Andoain,1,3,2,2 adultos,1,6,1,1,2021,28056.81,-1.9470262484039904,43.25727232433206,-2.033693,43.256347
1572,Donostialdea,Donostialdea,Donostia/San Sebastian,Lasarte-Oria,Coche conductor,17:00,22,Andoain,2,3,1,2 adultos con niño(s),2,4,1,1,2021,25395.16,-1.9735819137681234,43.30137522972663,-2.033693,43.256347
1573,Donostialdea,Donostialdea,Lasarte-Oria,Errenteria,Moto,17:30,99,,2,2,2,Otros hogares sin niños,1,4,1,1,2021,24596.86,-2.023102672560997,43.27224433723861,-2.033693,43.256347
1574,Donostialdea,Donostialdea,Lezo,Usurbil,Coche conductor,21:00,22,Lezo,2,3,1,Otros hogares con niños,1,4,1,1,2021,23759.76,-1.8594574839845335,43.32709111555831,-2.033693,43.256347
1575,Donostialdea,Donostialdea,Oiartzun,Pasaia,Coche conductor,05:00,22,Oiartzun,2,3,1,Otros hogares con niños,2,5,1,1,2021,25938.61,-1.8639860432327044,43.300541494309364,-2.033693,43.256347
1576,Bidasoa,Donostialdea,Irun,Oiartzun,Coche conductor,07:00,22,Irun,2,3,2,2 adultos con niño(s),2,5,1,1,2021,23379.76,-1.8075420916158287,43.34197303055722,-2.033693,43.256347
1577,Donostialdea,Donostialdea,Pasaia,Donostia/San Sebastian,Coche conductor,09:00,22,Pasaia,2,3,2,2 adultos con niño(s),1,5,1,1,2021,27334.709999999995,-1.9181488511729639,43.32061297640593,-2.033693,43.256347
1578,Donostialdea,Donostialdea,Oiartzun,Errenteria,Coche conductor,14:00,23,Errenteria,2,2,1,Otros hogares con niños,2,4,1,1,2021,19758.6,-1.857632435544816,43.318776425190855,-2.033693,43.256347
1579,Donostialdea,Donostialdea,Donostia/San Sebastian,Pasaia,Autobús interurbano,19:00,22,Pasaia,2,3,2,Otros hogares con niños,2,3,1,1,2021,20902.585,-1.9853594575138416,43.29562606572235,-2.033693,43.256347
